name,url,category,sub_category,price,price_per_unit,price_unit,quantity,weight_per_unit,weight_unit,energy_kj,energy_kcal,fat (g),of which saturates (g),carbohydrate (g),of which sugars (g),fibre (g),protein (g),salt (g),fatlow (g),of which saturateslow (g),of which sugarsmedium (g),saltlow (g),of which sugarshigh (g),saltmedium (g),of which sugarslow (g),salthigh (g),of which mono-unsaturates (g),fathigh (g),of which saturatesmedium (g),fatmedium (g),of which saturateshigh (g),sodium (g),energy value in kj (g),energy value in kcal (g),vitamin b1 (thiamin) (g),vitamin b2 (riboflavin) (g),niacin (g),vitamin b6 (g),folic acid / folate (g),iron (g),magnesium (g),of which polyvalents alcohols (g),phosphorus (g),mangan (g),vitamin b12 (g),vitamin d (g),pantothenic acid (g),calcium (g),folic acid (g),vitamin e (g),vitamin k (g),vitamin c (g),biotin (g),omega-3 fatty acids (g),potassium (g),zinc (g),alpha linolenic acid (omega-3 fatty acids) (g),water (g),omega-6 fatty acids (g),iodine (g),fluoride (g),of which starch (g),vitamin a (g),cholesterin (g),selen (g),caffeine (g),copper (g),silicon (g),bicarbonate (or hydrogen carbonate) (g),nitrate (g),sulfate (g),chloride (g),sulphate 4+ (g),minerals (g),vegetable sterine (g),chrome (g),molybdenum (g),lactose (g)
Pancho Villa · Hot Mex sauce,https://www.migros.ch/en/product/158567000000,snacks-sweets,snacks-crisps,2.9,1.23,100g,1,235,g,,,,,8.9,,1.3,1.2,,0.5,0,,,,1,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancho Villa · Tortilla chips · Fajita,https://www.migros.ch/en/product/158563500000,snacks-sweets,snacks-crisps,4.25,2.13,100g,1,200,g,,,,,59,,6.5,8,,,,,,,0.41,1.5,,,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M-Budget · tomatoes, dried",https://www.migros.ch/en/product/156053900000,snacks-sweets,snacks-crisps,1.85,1.16,100g,1,160,g,860,208,,,7.2,,13,4.6,,,,6.2,,,,,3,,,1.7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Léger · Popcorn Corn · For the microwave,https://www.migros.ch/en/product/101914500000,snacks-sweets,snacks-crisps,2.25,0.88,100g,3,85,g,1783,425,,,60,,14,10,,,,,,,,0.6,1.9,,,,13,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polli · artichoke hearts · in olive oil,https://www.migros.ch/en/product/156050500000,snacks-sweets,snacks-crisps,5.3,1.86,100g,1,285,g,388,94,,,0.5,,,1.5,,,1,,,,1.41,0.3,,,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sélection · Potato Chips · Salt and vinegar flavor,https://www.migros.ch/en/product/101906200000,snacks-sweets,snacks-crisps,5.2,3.47,100g,1,150,g,2173,520,,,58,,5.3,6.4,,,,,,,,2.3,1.9,,28,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dittmann Teufli · Red peppers stuffed with cream cheese,https://www.migros.ch/en/product/156056300000,snacks-sweets,snacks-crisps,4.2,1.45,100g,1,290,g,,,,,3.3,,,3.9,,,,,,,,3.2,2.53,,,,16.6,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zweifel Original · Chips · Natural,https://www.migros.ch/en/product/101952100000,snacks-sweets,snacks-crisps,3.2,1.83,100g,1,175,g,,,,,48,,6,6,,,,,,,1.2,0.8,,,36,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sélection · Chips · Salt and pepper,https://www.migros.ch/en/product/101906000000,snacks-sweets,snacks-crisps,5.2,3.47,100g,1,150,g,2178,521,,,58,,5.5,6.6,,,,,,,1.5,1.3,,,28,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Queen Apéro · mix,https://www.migros.ch/en/product/101417000000,snacks-sweets,snacks-crisps,4.8,3,100g,1,160,g,2396,578,44,5.9,24,13,6.8,18,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Classic · Green Spanish Olives · stuffed with pimento,https://www.migros.ch/en/product/156021900000,snacks-sweets,snacks-crisps,2.9,1.45,100g,1,200,g,609,148,,,1,,2.5,1,,,,,,,,0.5,3.8,,,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · Cashew nuts · salted,https://www.migros.ch/en/product/101419000000,snacks-sweets,snacks-crisps,5.1,3,100g,1,170,g,2365,570,,,23,,3.3,21,,,,5.9,,,,,2,,43,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zweifel Original · Chips · bell pepper,https://www.migros.ch/en/product/101950800000,snacks-sweets,snacks-crisps,3.2,1.83,100g,1,175,g,,,,,51,,5.3,5.5,,,,5.1,,,1.2,,,,34,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Queen Apéro · Macadamia nuts · roasted and salted,https://www.migros.ch/en/product/101405400000,snacks-sweets,snacks-crisps,4.4,3.52,100g,1,125,g,3105,754,76,12,5.2,4.6,8.8,7.9,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Werners · roasted almonds,https://www.migros.ch/en/product/113199300000,snacks-sweets,snacks-crisps,5.95,4.25,100g,1,140,g,,,,,49,,5.9,10,,,,,0.14,47,,,,,31,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amandes Paprika,https://www.migros.ch/en/product/268801409300,snacks-sweets,snacks-crisps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gebrannte Mandeln,https://www.migros.ch/en/product/113171200000,snacks-sweets,snacks-crisps,5.9,3.28,100g,1,180,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandeln Joghurt,https://www.migros.ch/en/product/268801309400,snacks-sweets,snacks-crisps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Queen Apéro · Cashew nuts · &salted and roasted,https://www.migros.ch/en/product/101404400000,snacks-sweets,snacks-crisps,4.95,3.09,100g,4,40,g,2564,618,,,20,,4.2,20,,,,7,,,1.1,,,,50,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Queen Premium Nuts · Mélange de noix · Basilic-citron,https://www.migros.ch/en/product/101400100000,snacks-sweets,snacks-crisps,4.95,2.91,100g,1,170,g,2517,608,49,5.6,18,5.6,7.3,20,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condy · garlic · with herbs,https://www.migros.ch/en/product/156038100000,snacks-sweets,snacks-crisps,2.9,2.23,100g,1,130,g,457,108,,,17,,0.7,3,,3,0,,,,,4,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Queen Apéro · Cashew nuts · roasted and salted,https://www.migros.ch/en/product/101401700000,snacks-sweets,snacks-crisps,3.45,2.03,100g,1,170,g,2476,596,46,7.9,26,5.8,3.2,18,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farm Chips · French Chips plain · with Swiss herbs,https://www.migros.ch/en/product/101938100000,snacks-sweets,snacks-crisps,5.25,1.75,100g,1,300,g,2206,529,,,56,,6.3,5.5,,,,5.5,,,1.3,,,,30,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancho Villa · Corn Chips · paprika,https://www.migros.ch/en/product/158501900000,snacks-sweets,snacks-crisps,4.25,2.13,100g,1,200,g,,,,,58,,6,7,,,,,,,1.1,2.5,,,24,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party · Jungle pretzels · salted,https://www.migros.ch/en/product/110231100000,snacks-sweets,snacks-crisps,3.1,1.72,100g,1,180,g,1856,442,,,65,,2,8.4,,,,7.3,,,,,3.7,,,1.6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnatura · Calamon Olives,https://www.migros.ch/en/product/156023100000,snacks-sweets,snacks-crisps,3.95,2.19,100g,1,180,g,,,,,1.3,,2.5,2,,,,,,,,0.5,3,,29,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party · Nut mixture · honey roasted,https://www.migros.ch/en/product/101407900000,snacks-sweets,snacks-crisps,3.1,1.55,100g,1,200,g,2210,530,,,43,,5,15,,,,,,36,0.83,,,,32,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demeter · artichoke hearts,https://www.migros.ch/en/product/156070100000,snacks-sweets,snacks-crisps,6.95,3.86,100g,1,180,g,424,103,,,1.1,,6.2,2,,,1,,,,,0.5,1.7,,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancho Villa · Corn Chips · with barbecue taste,https://www.migros.ch/en/product/158555000000,snacks-sweets,snacks-crisps,4.25,2.13,100g,1,200,g,,,,,56,,4.5,6.5,,,,,,,1.4,2.5,,,26,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party · cashews · Salted,https://www.migros.ch/en/product/101401600000,snacks-sweets,snacks-crisps,3.3,1.65,100g,1,200,g,2563,618,,,22,,3.7,19,,,,5.8,,,1,,,,50,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Queen Apéro · mix,https://www.migros.ch/en/product/101417100000,snacks-sweets,snacks-crisps,4.8,3,100g,1,160,g,2123,510,32,4.2,30,20,9,21,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Classic · Preparation for popcorn · salted,https://www.migros.ch/en/product/101914300000,snacks-sweets,snacks-crisps,1.95,0.49,100g,4,100,g,1942,464,,,58,,11,9.7,,,,,,,,0.8,1.8,,19,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Da Emilio · yellow date tomatoes,https://www.migros.ch/en/product/153226900000,snacks-sweets,snacks-crisps,3.5,1,100g,1,350,g,108,26,,,4.6,,1.5,0.8,,0.5,0.1,,0.01,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Da Emilio · red date tomatoes,https://www.migros.ch/en/product/153226700000,snacks-sweets,snacks-crisps,3.5,1,100g,1,350,g,103,24,,,4.4,,1.6,0.7,,0.5,0.1,,0.01,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Da Emilio · Apéro biscuits · tarallini,https://www.migros.ch/en/product/110241200000,snacks-sweets,snacks-crisps,3.95,1.32,100g,1,300,g,1920,456,,,66,,0.5,12,,,,,,,,0.5,1.6,,,2.7,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnatura · Corn minis à la Sour Cream &Onion,https://www.migros.ch/en/product/101916000000,snacks-sweets,snacks-crisps,1.3,2.6,100g,1,50,g,,,,,78,,1.9,7.8,,,0.8,5.2,,,,,2.1,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M-Classic Léger · Chips · Plain, 30% less fat than conventional chips",https://www.migros.ch/en/product/101909000000,snacks-sweets,snacks-crisps,4.45,2.23,100g,1,200,g,2004,479,23,1.5,58,0.5,6,7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pancho Villa · Corn Chips · with chili taste,https://www.migros.ch/en/product/158554900000,snacks-sweets,snacks-crisps,4.25,2.13,100g,1,200,g,,,,,57,,4.5,6,,,,,,,0.8,1.5,,,26,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Da Emilio · artichokes · Mediterranean herbs,https://www.migros.ch/en/product/156071400000,snacks-sweets,snacks-crisps,3.5,2.8,100g,1,125,g,409,99,,,2.5,,4.5,2,,,0.4,,,,1.1,0.8,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Da Emilio · Tocchetti rosmarino,https://www.migros.ch/en/product/110241400000,snacks-sweets,snacks-crisps,4.95,1.65,100g,1,300,g,2010,479,,,69,,2.5,8.9,,,,,,,,1.8,2.5,,18,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party · Pizza Crackers,https://www.migros.ch/en/product/110230800000,snacks-sweets,snacks-crisps,3.1,2.07,100g,1,150,g,1976,472,,,50,,2.1,13,,,,5.2,,,,,2,,24,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretzel,https://www.migros.ch/en/product/110205100000,snacks-sweets,snacks-crisps,4.2,2.1,100g,1,200,g,1650,391,,,70,,2.5,13,,,,,,,,2,3,,,2.5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · Corn Puffs · unsalted,https://www.migros.ch/en/product/101942100000,snacks-sweets,snacks-crisps,2.85,3.35,100g,1,85,g,1588,374,,,83,,1.1,7.3,,1.2,0.2,,0.01,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zweifel Original · Chips · Salt &Vinegar,https://www.migros.ch/en/product/101956200000,snacks-sweets,snacks-crisps,3.2,1.83,100g,1,175,g,,,,,48,,5.3,6.1,,,,,,,,1.3,2,,33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M-Classic Léger · Chips · Paprika, 30% less fat than conventional chips",https://www.migros.ch/en/product/101910700000,snacks-sweets,snacks-crisps,4.45,2.23,100g,1,200,g,2011,480,,,59,,4.5,7.1,,,1.4,,,,1.4,4.9,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Excellent · Noix mélangées Exotic, salées",https://www.migros.ch/en/product/101402400000,snacks-sweets,snacks-crisps,4.5,2.65,100g,1,170,g,2466,596,50,3.8,9.1,4.4,13,21,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party · Nut mixture · &salted and roasted,https://www.migros.ch/en/product/101405600000,snacks-sweets,snacks-crisps,2,1.25,100g,4,40,g,2240,539,,,24,,8.2,19,,,,,,23,0.7,,,,39,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party Nussmischung Mexico,https://www.migros.ch/en/product/101408000000,snacks-sweets,snacks-crisps,3.3,1.65,100g,1,200,g,2424,585,,,19,,7.8,22,,,,,,,1.1,4.9,,,45,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Queen Apéro · mix,https://www.migros.ch/en/product/101411600000,snacks-sweets,snacks-crisps,5.2,3.06,100g,1,170,g,2128,512,34,3.9,32,27,8.9,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Daily Nuts BBQ gross,https://www.migros.ch/en/product/131370700000,snacks-sweets,snacks-crisps,5.9,4.54,100g,1,130,g,2498,604,,,10,,8,20,,,,,,,,5,2,,52,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Göral Maiskörner,https://www.migros.ch/en/product/158539700000,snacks-sweets,snacks-crisps,3.2,,,1,400,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger Kitchen · shrimp chips,https://www.migros.ch/en/product/158509300000,snacks-sweets,snacks-crisps,1.5,2.5,100g,1,60,g,2165,518,,,63,,1.7,2.6,,,,7.2,,,,,2.5,,28,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sélection · Vegetable chips · With herbal sea salt,https://www.migros.ch/en/product/101906300000,snacks-sweets,snacks-crisps,4.3,5.7,100g,1,75,g,2137,512,32,2.4,50,27,2.4,4.9,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migros Bio · Cashew nuts · honey,https://www.migros.ch/en/product/101418400000,snacks-sweets,snacks-crisps,4.5,3,100g,1,150,g,2243,537,,,53,,1.4,13,,,,,0.21,42,,,,,30,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party · Pretzel sticks long,https://www.migros.ch/en/product/110200800000,snacks-sweets,snacks-crisps,1,0.4,100g,1,250,g,1617,382,,,72,,4.6,12,,,,,,,,0.9,6.8,,,2.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnatura · Beetroot crackers,https://www.migros.ch/en/product/110237000000,snacks-sweets,snacks-crisps,2.5,3.33,100g,1,75,g,,,,,71,,4.6,12,,,0.9,9.9,,,,,2,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gran Pavesi · Crackers · Classic,https://www.migros.ch/en/product/110296800000,snacks-sweets,snacks-crisps,2.7,1.5,100g,1,180,g,,,,,68.7,,5.5,9,,,1.5,11,,,,,2.375,,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnatura · Spreading cream · Toscana,https://www.migros.ch/en/product/154391200000,snacks-sweets,snacks-crisps,2.5,1.39,100g,1,180,g,,,,,4.4,,2.4,5.4,,,,,,,1.4,4.4,,,35,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condy · Peperoncini red · Fiery hot,https://www.migros.ch/en/product/156042200000,snacks-sweets,snacks-crisps,1.7,0.94,100g,1,180,g,115,27,,,4.7,,2.5,0.9,,0.5,0.1,,,,,1.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sélection · capers · in sea salt,https://www.migros.ch/en/product/156094100000,snacks-sweets,snacks-crisps,3.4,5.2,100g,1,65,g,125,30,,,1.3,,3.6,2.4,,0.9,0.2,,,,,0.5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bio Cashew gesalzen lose,https://www.migros.ch/en/product/101412600000,snacks-sweets,snacks-crisps,3,3,100g,1,100,g,2474,596,,,29,,3,15,,,,,,,1,5,,,46,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Queen Paprika-Cashewnüsse,https://www.migros.ch/en/product/101408300000,snacks-sweets,snacks-crisps,4.7,2.76,100g,1,170,g,2417,582,43,7.6,29,7.2,3.4,18,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dama Steinpilze in Öl,https://www.migros.ch/en/product/156047400000,snacks-sweets,snacks-crisps,13.6,6.8,100g,1,200,g,1101,267,27,,4.5,,,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melanzane Olio Oliva,https://www.migros.ch/en/product/156083300000,snacks-sweets,snacks-crisps,5.3,2.65,100g,1,200,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polli Antipasto Farcitoast,https://www.migros.ch/en/product/156088200000,snacks-sweets,snacks-crisps,3.8,1.31,100g,1,290,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ponti Peperlizia L'Ortoghiotto,https://www.migros.ch/en/product/156090600000,snacks-sweets,snacks-crisps,5.3,1.61,100g,1,330,g,,,,,13,,4.6,4.9,,,1.2,9.8,,,,,2.5,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ponti Peperlizia I Peperoni,https://www.migros.ch/en/product/156045000000,snacks-sweets,snacks-crisps,4.1,1.95,100g,1,210,g,,,,,11,,,1,,,1,11,,,,,2,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLLI PEPERONI MIX 285G,https://www.migros.ch/en/product/156056900000,snacks-sweets,snacks-crisps,3.5,1.23,100g,1,285,g,409,98,,,9.3,,,0.6,,,0.7,8.1,,,1.4,,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polli Bruschetta Pomodoro e aglio,https://www.migros.ch/en/product/156057600000,snacks-sweets,snacks-crisps,1.2,1.33,100g,1,90,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dittmann Pepperballs mit Frischkäse,https://www.migros.ch/en/product/156059700000,snacks-sweets,snacks-crisps,5.4,1.86,100g,1,290,g,,,,,12.2,,,3.4,,,,12,,,1.49,,,,,,16.9,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Reinese Peperoncini farc. al tonno,https://www.migros.ch/en/product/156082000000,snacks-sweets,snacks-crisps,7.95,3.98,100g,1,200,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLLI GRILLED MUSHROOMS,https://www.migros.ch/en/product/156050100000,snacks-sweets,snacks-crisps,4.95,1.74,100g,1,285,g,158,38,,,0.5,,,2.5,,2.3,0.3,,,,,0.2,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carciofini all'olio,https://www.migros.ch/en/product/156051900000,snacks-sweets,snacks-crisps,9.3,3.1,100g,1,300,g,1540,374,40,,2.5,,,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aus der Region Zwiebel-Confit,https://www.migros.ch/en/product/153261100000,snacks-sweets,snacks-crisps,5.75,5.23,100g,1,110,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sélection · Artichoke hearts,https://www.migros.ch/en/product/153901500000,snacks-sweets,snacks-crisps,2.95,2.27,100g,1,130,g,109,26,,,4,,2.1,1.4,,0,0,,,,0.8,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polli Pilzmix grilliert,https://www.migros.ch/en/product/156050400000,snacks-sweets,snacks-crisps,5.3,1.86,100g,1,285,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Reinese Peperoncini macinati,https://www.migros.ch/en/product/156081900000,snacks-sweets,snacks-crisps,4.1,2.41,100g,1,170,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polli Riso più leggero senza olio,https://www.migros.ch/en/product/156087800000,snacks-sweets,snacks-crisps,6.9,1.28,100g,3,180,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polli Condimento Riso più con tonno,https://www.migros.ch/en/product/156088100000,snacks-sweets,snacks-crisps,5,1.72,100g,1,290,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polli Funghi alla pizzaiola,https://www.migros.ch/en/product/156097400000,snacks-sweets,snacks-crisps,5.3,1.86,100g,1,285,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.migros.ch/en/product/101408800000,snacks-sweets,snacks-crisps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.migros.ch/en/product/268800702300,snacks-sweets,snacks-crisps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.migros.ch/en/product/156070700000,snacks-sweets,snacks-crisps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.migros.ch/en/product/156071000000,snacks-sweets,snacks-crisps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Da Emilio Pomodorini Ciliegini,https://www.migros.ch/en/product/156070900000,snacks-sweets,snacks-crisps,5.4,3.6,100g,1,150,g,935,226,,,12,,7.4,4.7,,,,12,,,0.75,,,,,4.8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antipasti Platte,https://www.migros.ch/en/product/131187800000,snacks-sweets,snacks-crisps,4.95,2.91,100g,1,170,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peperoncino sott'olio,https://www.migros.ch/en/product/103310400000,snacks-sweets,snacks-crisps,11.2,8.62,100g,1,130,g,1220,296,,,6.1,,1.2,2,,,,,,,0.71,3.7,,,29,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cashewnüsse,https://www.migros.ch/en/product/268810305200,snacks-sweets,snacks-crisps,4.5,3.6,100g,1,125,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Queen Macadamia 2x,https://www.migros.ch/en/product/101402000000,snacks-sweets,snacks-crisps,7.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
