name,url,category,sub_category,price,price_per_unit,price_unit,quantity,weight_per_unit,weight_unit,energy_kj,energy_kcal,fat (g),of which saturates (g),carbohydrate (g),of which sugars (g),fibre (g),protein (g),salt (g),fatlow (g),of which saturateslow (g),of which sugarsmedium (g),saltlow (g),of which sugarshigh (g),saltmedium (g),of which sugarslow (g),salthigh (g),of which mono-unsaturates (g),fathigh (g),of which saturatesmedium (g),fatmedium (g),of which saturateshigh (g),sodium (g),energy value in kj (g),energy value in kcal (g),vitamin b1 (thiamin) (g),vitamin b2 (riboflavin) (g),niacin (g),vitamin b6 (g),folic acid / folate (g),iron (g),magnesium (g),of which polyvalents alcohols (g),phosphorus (g),mangan (g),vitamin b12 (g),vitamin d (g),pantothenic acid (g),calcium (g),folic acid (g),vitamin e (g),vitamin k (g),vitamin c (g),biotin (g),omega-3 fatty acids (g),potassium (g),zinc (g),alpha linolenic acid (omega-3 fatty acids) (g),water (g),omega-6 fatty acids (g),iodine (g),fluoride (g),of which starch (g),vitamin a (g),cholesterin (g),selen (g),caffeine (g),copper (g),silicon (g),bicarbonate (or hydrogen carbonate) (g),nitrate (g),sulfate (g),chloride (g),sulphate 4+ (g),minerals (g),vegetable sterine (g),chrome (g),molybdenum (g),lactose (g)
Saucisse avec Tête de Moine,https://www.migros.ch/en/product/230539861000,meat-fish,cold-cuts,7.5,3.75,100g,1,200,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malbuner Schinkenwurst,https://www.migros.ch/en/product/231014181000,meat-fish,cold-cuts,3.4,3.4,100g,1,100,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kochschinken,https://www.migros.ch/en/product/231502285000,meat-fish,cold-cuts,9.6,8.73,100g,1,110,g,,,,,0,,0,21,,,,,,,,0,2,,,2,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kochschinken,https://www.migros.ch/en/product/231502880400,meat-fish,cold-cuts,4.75,4.75,100g,1,100,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Del Maître Schinken Prestige,https://www.migros.ch/en/product/231503080100,meat-fish,cold-cuts,4.3,4.3,100g,1,100,g,,,,,1,,0.5,22,,3,1,,,,,0.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dzodzet-Schinken,https://www.migros.ch/en/product/231510981500,meat-fish,cold-cuts,,,,,,,1071,257,18,7,0.8,0.5,0.5,23,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beinschinken IP-SUISSE,https://www.migros.ch/en/product/231510982000,meat-fish,cold-cuts,,,,,,,818,196,,,0.8,,0,19,,,,,,,,0.5,2,,,4.9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beinschinken geschnitten,https://www.migros.ch/en/product/231510984100,meat-fish,cold-cuts,4.4,4.4,100g,1,100,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filetto Schweinsnierstück geräucht,https://www.migros.ch/en/product/233120071000,meat-fish,cold-cuts,6.05,6.05,100g,1,100,g,790,187,,,1.7,,0.5,33,,,,,,,,1.4,4.6,,,2,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bohnenfleisch geräucht,https://www.migros.ch/en/product/233550060800,meat-fish,cold-cuts,2.55,2.55,100g,1,100,g,551,131,,,0.5,,0.5,21,,,,,,,,0.5,2.1,,,1.9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
