category,sub_category,url
fruits-vegetables,fruits,https://www.migros.ch/en/product/260289004100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260282504100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260289304100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260283804100
fruits-vegetables,fruits,https://www.migros.ch/en/product/264709313200
fruits-vegetables,fruits,https://www.migros.ch/en/product/260215703300
fruits-vegetables,fruits,https://www.migros.ch/en/product/260285804100
fruits-vegetables,fruits,https://www.migros.ch/en/product/260232603300
fruits-vegetables,fruits,https://www.migros.ch/en/product/263580308800
fruits-vegetables,fruits,https://www.migros.ch/en/product/263580313200
fruits-vegetables,fruits,https://www.migros.ch/en/product/264703513200
fruits-vegetables,fruits,https://www.migros.ch/en/product/261500502300
fruits-vegetables,fruits,https://www.migros.ch/en/product/264681013200
fruits-vegetables,fruits,https://www.migros.ch/en/product/260278104100
fruits-vegetables,fruits,https://www.migros.ch/en/product/261700702400
fruits-vegetables,fruits,https://www.migros.ch/en/product/261604501000
fruits-vegetables,fruits,https://www.migros.ch/en/product/261602502400
fruits-vegetables,fruits,https://www.migros.ch/en/product/260216601000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260220301000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260279901000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260281804100
fruits-vegetables,fruits,https://www.migros.ch/en/product/261600701000
fruits-vegetables,fruits,https://www.migros.ch/en/product/261600901000
fruits-vegetables,fruits,https://www.migros.ch/en/product/261700701000
fruits-vegetables,fruits,https://www.migros.ch/en/product/261801102400
fruits-vegetables,fruits,https://www.migros.ch/en/product/262401501000
fruits-vegetables,fruits,https://www.migros.ch/en/product/264200301000
fruits-vegetables,fruits,https://www.migros.ch/en/product/264200702100
fruits-vegetables,fruits,https://www.migros.ch/en/product/264208009300
fruits-vegetables,fruits,https://www.migros.ch/en/product/264614613200
fruits-vegetables,fruits,https://www.migros.ch/en/product/260205001000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260220401000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260260301000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260282501000
fruits-vegetables,fruits,https://www.migros.ch/en/product/261701701000
fruits-vegetables,fruits,https://www.migros.ch/en/product/261801101000
fruits-vegetables,fruits,https://www.migros.ch/en/product/261880202300
fruits-vegetables,fruits,https://www.migros.ch/en/product/263580308600
fruits-vegetables,fruits,https://www.migros.ch/en/product/260206601000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260238501000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260238601000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260278301000
fruits-vegetables,fruits,https://www.migros.ch/en/product/262500501000
fruits-vegetables,fruits,https://www.migros.ch/en/product/264200701000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260205701000
fruits-vegetables,fruits,https://www.migros.ch/en/product/260215801000
fruits-vegetables,fruits,https://www.migros.ch/en/product/261500501000
fruits-vegetables,fruits,https://www.migros.ch/en/product/261500701000
fruits-vegetables,fruits,https://www.migros.ch/en/product/261780101000
fruits-vegetables,fruits,https://www.migros.ch/en/product/261800502400
fruits-vegetables,fruits,https://www.migros.ch/en/product/264200601000
